Date,LogReturn,PredictedVolatility
2021-05-03,0.016479877885243077,0.03590572837891968
2021-05-04,-0.0026587036361211958,0.034933732417126044
2021-05-05,-0.030220778378548196,0.033948015906099874
2021-05-06,-0.06313784431055502,0.0344603740985154
2021-05-07,-0.061201273149398716,0.03869176200003746
2021-05-10,-0.022981072179676154,0.04195302021643027
2021-05-11,-0.012423036143706767,0.04132605368572906
2021-05-12,-0.05433668540994585,0.04025477080725124
2021-05-13,-0.011856003532777493,0.042463898590196975
2021-05-14,0.05922840504721183,0.04130818622523745
2021-05-17,-0.04728412078164723,0.04275298738488365
2021-05-18,0.0034808697656645293,0.04392522580204307
2021-05-19,0.003512627102391974,0.042408484105741495
2021-05-20,0.057735353083803176,0.040966478841951516
2021-05-21,0.01929873673930782,0.04229874681948564
